dxhy.name,force.mean,torque.mean,force.median,torque.median,force.sd,torque.sd,force.max,torque.max,force.skewness,torque.skewness,force.kurtosis,torque.kurtosis,force.IQR,torque.IQR,force.coefficient_of_variation,torque.coefficient_of_variation,spearman.correlation,pearson.correlation,spectral_density.df,spectral_density.bandwidth,dual.gini,force.gini,torque.gini,force.autocorr.mean,force.autocorr.sd,torque.autocorr.mean,torque.autocorr.sd,RUL
d1h1,214.3571451,13.12429304,250.6761,14.62726,87.24891056,6.665593809,311.9313,311.9313,-1.290475182,-0.602235425,3.36778572,2.779384603,75.36655,6.23321,40.70259031,50.78821229,0.622381624,0.583715947,1.772928093,0.001503516,0.54966086,0.206362315,0.27660661,0.552815756,0.27362378,0.677149793,0.203619636,20
d1h2,227.138739,16.0115391,264.2845,18.61651,88.47887414,7.940319693,325.6428,325.6428,-1.423323436,-0.819408873,3.788950551,2.505981728,64.64,9.64069,38.9536697,49.59123321,0.71417693,0.622782907,1.763596892,0.001503516,0.536777054,0.194379185,0.269495428,0.551152632,0.257377256,0.684863574,0.193758566,19
d1h3,230.7699873,16.07010987,268.8206,18.78273,96.86056847,8.215750349,343.4678,343.4678,-1.278268834,-0.77368326,3.426948187,2.290541059,75.9803,12.13397775,41.9727754,51.12441929,0.781244154,0.710478359,1.737842779,0.001443376,0.548413178,0.214904024,0.27984667,0.603638342,0.236207436,0.673623668,0.207282081,18
d1h4,232.1254401,16.63364087,269.38765,19.28139,113.5635404,8.692528453,381.8601,381.8601,-0.827398575,-0.623691128,2.489545623,2.053339277,130.608575,14.8765915,48.92334955,52.25872386,0.841630166,0.813058509,1.773674589,0.001443376,0.571692598,0.265731972,0.290801931,0.673549744,0.215608006,0.698643885,0.197030295,17
d1h5,235.1301758,16.98575019,274.4908,19.61383,119.0515796,9.322410857,385.9735,385.9735,-0.761739136,-0.541176648,2.325958982,1.910914237,161.8908,15.957011,50.63219945,54.88371578,0.864339391,0.838573715,1.667174487,0.001336459,0.577355571,0.277382792,0.307607049,0.680255923,0.212005286,0.70835611,0.197051886,16
d1h6,239.4217885,17.59935458,273.3568,20.94358,120.466646,8.822427516,399.7223,399.7223,-0.744607876,-0.698361043,2.293129783,2.029533473,172.9879,15.292137,50.31565707,50.12926738,0.849128236,0.836038305,1.667174487,0.001336459,0.57445679,0.276999312,0.275439837,0.689344258,0.203071198,0.70105103,0.198294097,15
d1h7,240.3515215,18.03679593,275.6248,20.94358,122.3570834,9.453034037,396.9428,396.9428,-0.726595484,-0.601710863,2.241345684,1.902064232,175.66335,16.954331,50.90755517,52.40971886,0.867739231,0.851298547,1.683763288,0.001336459,0.575635803,0.280888758,0.291050983,0.701128876,0.195139983,0.715364599,0.188780482,14
d1h8,244.5590163,17.4846436,286.39815,20.94358,132.3093164,9.758059033,419.6563,419.6563,-0.630380238,-0.492417552,2.028637344,1.712457877,220.713625,18.284082,54.10118112,55.80931048,0.894787888,0.884065407,1.741824091,0.001336459,0.588932504,0.300808498,0.311594129,0.745802193,0.167353641,0.746562878,0.174443571,13
d1h9,232.4942455,16.56116913,276.7589,19.94627,135.9127315,10.10535087,415.3847,415.3847,-0.519724245,-0.410908491,1.87104931,1.610717132,243.948075,20.444927,58.45853568,61.01834234,0.902863684,0.896066942,1.743814747,0.001283001,0.603924496,0.327019326,0.342097437,0.751916188,0.169876437,0.769609767,0.16152094,12
d1h10,253.423521,18.32861412,291.5013,22.27333,133.5972885,10.05960343,433.8948,433.8948,-0.588342175,-0.54284325,2.108863855,1.7791504,199.5335,18.616516,52.71700432,54.88469212,0.889850441,0.884329007,1.733529691,0.001336459,0.584408549,0.294973101,0.305453585,0.725677384,0.181470899,0.733025595,0.181597057,11
d1h11,244.731624,17.37098115,280.161,21.94089,146.1123023,10.57013937,442.4379,442.4379,-0.421278552,-0.415575614,1.804360198,1.553327866,273.4243,20.943578,59.70307391,60.84940905,0.907593644,0.909809907,1.791590494,0.001283001,0.608288705,0.337360166,0.33920672,0.792125994,0.139696788,0.777603683,0.153882346,10
d1h12,255.2349643,18.17128543,294.9034,23.43686,151.6202793,11.12416381,445.2856,445.2856,-0.456734295,-0.422302028,1.767437759,1.535900781,285.33715,22.107109,59.40419632,61.21836482,0.910923396,0.924827283,1.783627869,0.001283001,0.606175249,0.33399509,0.339557717,0.790866758,0.13955215,0.778461737,0.153895353,9
d1h13,268.5982925,17.9332556,300.9621,23.60308,153.4653549,10.94142996,472.3387,472.3387,-0.444840847,-0.497813452,1.897302122,1.615652953,262.5433,20.611145,57.13564053,61.01195572,0.906713267,0.913744289,1.727889498,0.001283001,0.604398952,0.323142128,0.336637795,0.771825299,0.151568452,0.760690654,0.165901288,8
d1h14,277.0843661,20.45013977,310.5601,26.92746,163.1902838,11.80251446,490.8488,490.8488,-0.413870788,-0.468143126,1.778381045,1.591789922,294.91855,22.771983,58.89552199,57.71361268,0.913077389,0.92041426,1.775665245,0.001283001,0.602855169,0.333023898,0.319284596,0.786461369,0.142130415,0.77567855,0.15303657,7
d1h15,280.5236366,20.57955195,318.7871,27.2599,162.5458159,11.56896868,503.7842,503.7842,-0.41807128,-0.464716452,1.814641417,1.61553952,285.8412,21.608458,57.94371477,56.21584331,0.892076353,0.914442195,1.759739996,0.001283001,0.599923433,0.327975988,0.311472691,0.783699641,0.143751782,0.763256355,0.157546527,6
d1h16,257.8060758,19.55524231,276.19185,23.93552,176.7035943,12.49270355,502.3256,502.3256,-0.239710077,-0.264285781,1.564224973,1.387046439,358.644925,26.42880325,68.5412839,63.88416647,0.92406929,0.936627779,1.748592322,0.001154701,0.633660638,0.389034515,0.356629331,0.841203982,0.108750176,0.824199114,0.121529094,5
